energy_L0,entropy_L0,energy_L1,entropy_L1,energy_L2,entropy_L2,energy_L3,entropy_L3,energy_L4,entropy_L4,label
52.558346883063045,-38.18207264646779,416.6014768463557,-454.12464273702005,103.50440940022098,-11.57614320886804,21.85072303806883,18.868772185200843,48.41895585692316,38.12591732739478,0
881.0768748326574,-1772.4815604756452,428.22422612633204,-472.30289461467373,115.64878306525236,-22.112290066255934,24.30441022362133,19.829583529648815,49.004599943635995,38.32526737707114,1
34.598717208791875,-13.252841282985882,402.1225596341614,-422.38862942426823,117.9510534195409,-16.452664721965334,29.005815757871616,20.786294957128362,45.34903162101726,38.56966707972094,0
856.0719858010502,-1695.1498616843498,431.61921723528036,-494.98986673041964,123.76819675049964,-28.627230913623784,24.329073449412242,20.608058568562406,42.51144088991141,34.76467838313612,1
50.487448469493636,-39.73232386569576,422.15545066142533,-460.5652615709699,105.08698653167673,-13.20760527498175,23.475828028459993,17.97614858170441,43.2553544864939,37.77334451832431,0
829.9501742891467,-1676.2188919757136,439.4358573011143,-494.136087974016,110.27600368503133,-21.201025153079648,29.217680635763504,20.267465544329937,47.92431474751373,34.768829171840345,1
40.608341947230905,-22.996889592733524,412.7008497513357,-444.55561214776174,109.21961941204597,-12.73929010385857,22.53280144918206,20.08282657542641,44.33237461679976,37.5640207069508,0
834.5080557775646,-1697.1348560929791,440.30011155037766,-502.20786320599325,121.31513304766693,-24.0237820598481,25.986725560926587,17.98040620017338,49.43720733541623,36.93325203525204,1
33.10224230177209,-19.364447369649866,437.96625010855723,-481.9811970700561,104.33025971256423,-9.711992073307728,22.887584557047038,19.304470165023787,43.601653471982374,38.420109537558574,0
834.5462174390569,-1671.5231311249,428.11435825536364,-477.1967328178273,111.025623511525,-19.044889438557057,23.98635190406054,19.729779764915765,46.101884076964595,35.019039418883295,1
25.97130565766892,-4.415962309991006,416.4846051138563,-448.65865291160287,101.79726793857466,-8.664211309417645,21.92088252347441,18.07388021980364,43.52346248698257,36.70464579621397,0
813.9035973960151,-1615.357613762692,418.9447586205208,-461.668984226823,117.3185103668779,-27.337399143046817,23.805688054905918,18.96614281828917,43.26554996987509,35.52535386643672,1
53.2497660956721,-41.67073986830279,419.3206371797012,-461.9842495608579,115.60556804217592,-17.61085288653537,23.52242962008321,19.676156426483544,43.72556665360938,35.83231130376182,0
782.9544929683381,-1545.6250359565483,447.17648600922496,-502.11368260725806,113.7065290807534,-17.790785440255902,29.647395348352337,21.7526131417184,49.68087956080799,37.04229504769305,1
21.23436275840686,-1.3798375324562726,422.6917206667407,-463.4936836084275,118.22931664274019,-19.894078964409637,23.156302969024026,17.967837085878426,46.19737400990869,36.51702898949526,0
827.0058877777076,-1676.0074128436277,438.9808506883789,-497.73247999488484,116.15903697105065,-22.859680026876838,28.34659311191909,20.93920399530738,51.17574328465428,38.06436544528229,1
42.51129214602389,-29.102071417521483,428.39944753404893,-464.43297587134214,120.53576998897218,-20.939684360363195,29.450515476546304,21.690391368774844,48.20231890508906,39.05172307330596,0
809.1860679627523,-1601.8544356889697,408.7143816434607,-444.61210379005666,110.64832710217422,-24.147661802353483,24.273708195638882,20.511752359615354,47.18812593037663,36.6086204331986,1
21.34434205513474,-3.5291002711796353,424.8119527780368,-462.90017178857397,124.40976661344145,-23.045878380662593,21.67019213871304,19.6122670082482,40.58408666206895,38.354757317043806,0
817.1435131275879,-1651.9089903590177,425.66617651215813,-472.3119968154781,110.68806811241774,-18.86616941812705,22.39057329993207,19.247518855785096,40.86069258620599,37.379991222186916,1
37.02764075149924,-15.876972763474622,397.6914314506518,-421.3358283886711,111.57464468281833,-15.320735192580926,27.014520957905724,19.24051967948076,39.661546299577054,37.326185391673725,0
825.568911613588,-1645.7641546342743,436.2344018085506,-485.68891122538986,102.9485091052702,-11.187895571789573,29.223079458557947,20.65298041190062,51.788946812476055,37.321075208314205,1
61.68514573797793,-58.607448004207484,403.5712244717768,-432.6862783959547,116.07015680309692,-18.267233705514585,21.405348591157264,18.58124273846306,45.39815873574996,37.510050736907985,0
811.3963293622685,-1618.704567921573,440.01316325181335,-493.7489440394509,114.55009056047658,-18.14543214147021,21.206532309928562,18.381748413356586,43.75324979862994,36.007003342971245,1
28.15681643426058,-9.307337772775062,431.57285147374597,-477.98923463229863,115.15424051393857,-16.195118157044384,27.633790832913462,20.12875131505554,50.11980281581194,39.98626877600726,0
800.7248516335353,-1603.8074362651673,419.7426646604427,-463.4520188032185,103.16599465957586,-11.434841556836032,23.289784583521264,19.104073299265643,43.6185572835878,36.733137198771914,1
48.38871383825175,-29.11309104649557,428.6736558181922,-471.3850482378451,105.15341310584108,-12.263487751237287,23.211303874542963,19.233989028928008,43.384186546063106,37.95373994366044,0
792.2329937362023,-1583.6398688206666,426.5663779012186,-472.1045304693492,107.95029950764692,-17.979598973684123,23.50680514615681,19.21675597238234,48.82688570833683,37.848295949771355,1
